goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,league
5,0,0,44,44.0,5,45.45,7,35.0,12,3,88.3,49,44.14,904,25,10,15,19,0,0,0,8,1,0,0,0,0,124,6,415,31,18,39.13,8,72.73,5,2,18,0,13,5,3,38.46,0,0,0.92,0,0,0,Martin Baturina,Como,1090019,2704,Italy Serie A
2,3,0,51,59.3,39,50.65,1,50.0,38,0,92.41,90,55.21,2110,12,21,4,25,0,0,0,15,2,0,0,0,0,223,1,1448,5,2,66.67,66,64.71,30,80,9,1,18,4,4,11.11,0,1,1.62,0,2,0,Manuel Akanji,Inter,383560,2697,Italy Serie A
1,5,0,40,65.57,52,59.09,1,100.0,25,0,87.71,92,61.74,1706,14,21,2,20,0,0,0,18,3,0,0,0,0,97,0,878,6,0,0.0,59,54.63,16,99,3,0,3,1,1,33.33,0,0,0.58,0,0,0,Alessandro Circati,Parma,1155423,2690,Italy Serie A
1,1,0,24,63.16,4,40.0,8,88.89,10,0,88.96,28,58.33,533,6,7,3,12,0,0,0,3,0,0,0,0,0,119,0,427,4,0,0.0,20,58.82,9,6,4,0,7,2,3,14.29,0,0,0.37,0,0,0,Billy Gilmour,Napoli,907668,2714,Italy Serie A
3,0,0,92,59.35,39,60.94,21,65.63,50,1,88.42,131,59.82,2151,22,24,15,26,0,0,0,32,4,0,0,0,0,191,2,1260,14,1,10.0,115,59.28,36,96,17,3,25,4,7,12.0,0,1,2.4,1,2,0,Oumar Solet,Udinese,892979,2695,Italy Serie A
0,0,0,0,0.0,1,100.0,0,0.0,0,0,78.64,1,100.0,540,1,0,0,6,20,15,4,8,2,3,2,2,2,11,0,173,0,0,0.0,26,35.62,0,5,0,0,0,0,0,0.0,0,0,,0,0,0,Justin Bijlow,Genoa,556696,2713,Italy Serie A
0,0,0,7,100.0,6,75.0,0,0.0,3,0,71.13,13,86.67,2430,6,0,0,27,78,41,35,13,6,16,11,2,12,10,0,574,0,0,0.0,154,39.9,1,12,0,0,0,0,0,0.0,0,0,,1,0,0,Mile Svilar,Roma,793986,2702,Italy Serie A
0,1,0,10,76.92,11,55.0,1,100.0,8,0,94.44,21,63.64,400,1,3,0,7,0,0,0,2,1,0,0,0,0,18,0,272,1,0,0.0,8,61.54,1,19,0,0,5,2,1,0.0,0,0,0.32,0,0,0,Stefan de Vrij,Inter,91046,2697,Italy Serie A
3,1,0,23,54.76,35,55.56,0,0.0,15,3,87.89,58,55.24,1275,8,12,2,16,0,0,0,12,3,0,0,0,0,66,0,668,7,0,0.0,30,41.1,13,57,2,1,10,5,2,30.0,0,0,1.64,0,0,0,Bremer,Juventus,885197,2687,Italy Serie A
6,1,0,73,41.01,9,29.03,27,36.0,15,4,83.85,82,39.23,1691,31,5,42,25,0,0,0,6,4,0,0,0,0,307,4,623,34,16,27.12,30,69.77,9,9,11,1,42,14,11,14.29,0,3,3.32,0,0,0,Matías Soulé,Roma,1082406,2702,Italy Serie A
4,5,0,109,47.39,19,46.34,14,25.0,47,0,79.31,128,47.23,2053,48,29,23,25,0,0,0,8,5,0,0,0,0,276,8,694,27,18,21.69,20,29.85,18,49,27,2,22,10,5,18.18,0,1,1.39,0,0,0,Wesley,Roma,1134200,2702,Italy Serie A
2,2,0,37,56.92,35,66.04,6,75.0,21,1,91.98,72,61.02,1305,11,18,6,16,0,0,0,9,2,0,0,0,0,134,0,791,7,1,11.11,18,45.0,12,57,4,3,21,9,7,9.52,1,3,2.23,0,1,0,Yann Bisseck,Inter,906275,2697,Italy Serie A
3,2,0,60,60.0,50,54.95,9,50.0,31,1,89.8,110,57.59,1880,20,16,9,23,0,0,0,17,1,0,0,0,0,158,0,1101,12,4,30.77,49,54.44,12,77,7,1,16,4,3,18.75,0,3,2.33,0,1,1,Strahinja Pavlović,Milan,965893,2692,Italy Serie A
1,3,0,179,65.09,13,43.33,49,56.32,45,4,84.83,192,62.95,2331,85,31,18,27,0,0,0,30,5,0,0,0,0,122,6,565,25,22,27.5,19,50.0,16,33,11,0,20,4,8,5.0,0,5,1.21,0,1,1,Marco Palestra,Cagliari,1397736,2719,Italy Serie A
2,2,0,117,51.54,19,46.34,28,62.22,47,2,91.12,136,50.75,2122,46,43,32,24,0,0,0,12,3,0,0,0,0,332,3,1077,23,0,0.0,34,65.38,15,22,21,1,20,5,8,10.0,1,1,2.09,0,1,0,Manu Koné,Roma,974087,2702,Italy Serie A
0,0,0,6,40.0,2,66.67,0,0.0,5,1,88.73,8,44.44,245,1,1,1,4,0,0,0,2,0,0,0,0,0,12,3,63,4,5,45.45,2,40.0,3,5,6,0,0,0,0,0.0,0,0,,0,0,1,Ulisses Garcia,Sassuolo,558320,2793,Italy Serie A
0,4,0,61,58.1,14,43.75,2,50.0,54,2,90.19,75,54.74,1948,5,23,3,24,0,0,0,14,1,0,0,0,0,166,2,1122,3,4,26.67,42,50.0,21,83,17,0,8,2,2,0.0,0,2,0.55,0,0,0,Fikayo Tomori,Milan,788255,2692,Italy Serie A
2,5,0,64,45.07,65,49.24,9,60.0,51,1,81.14,129,47.08,2189,6,43,15,26,0,0,0,9,6,0,0,0,0,387,2,1239,22,3,23.08,102,52.04,17,42,16,2,32,8,8,6.25,2,0,1.64,0,2,0,Bryan Cristante,Roma,186855,2702,Italy Serie A
3,0,0,96,55.17,4,22.22,15,41.67,33,1,84.63,100,52.08,2127,48,13,17,27,0,0,0,25,5,0,0,0,0,293,7,925,49,17,21.52,66,66.0,13,18,27,2,46,11,18,6.52,1,1,2.17,0,0,0,Adrián Bernabé,Parma,934384,2690,Italy Serie A
3,1,0,34,41.98,1,20.0,11,30.56,16,3,78.5,35,40.7,1494,7,8,9,24,0,0,0,13,2,0,0,0,0,162,2,577,26,16,29.63,40,51.28,4,28,6,0,19,7,5,15.79,0,2,1.02,0,1,1,Leonardo Spinazzola,Napoli,148899,2714,Italy Serie A
3,4,0,68,47.89,16,47.06,14,58.33,38,3,89.35,84,47.73,1949,16,27,15,26,0,0,0,15,2,0,0,0,0,276,7,1259,32,20,34.48,46,55.42,13,15,23,4,25,10,5,12.0,1,0,4.18,0,0,0,Lucas Da Cunha,Como,911848,2704,Italy Serie A
0,1,0,2,50.0,12,92.31,0,0.0,0,0,63.65,14,82.35,1710,5,0,0,19,52,34,17,25,6,17,13,11,13,38,0,401,0,0,0.0,140,38.25,0,24,2,0,0,0,0,0.0,0,0,,0,1,0,Alberto Paleari,Torino,259281,2696,Italy Serie A
0,0,0,0,0.0,0,0.0,0,0.0,0,0,93.55,0,0.0,124,0,0,0,2,4,1,3,0,0,1,0,1,0,2,0,29,0,0,0.0,7,77.78,0,1,0,0,0,0,0,0.0,0,0,,0,0,0,Pietro Terracciano,Milan,136856,2692,Italy Serie A
0,0,0,1,50.0,9,90.0,0,0.0,0,0,60.04,10,83.33,1530,2,0,0,17,60,36,23,18,7,19,3,6,3,36,0,311,0,0,0.0,151,42.42,0,16,1,0,0,0,0,0.0,0,0,,0,1,0,Adrian Šemper,Pisa,814876,2737,Italy Serie A
5,2,1,74,59.68,5,38.46,20,66.67,19,0,90.75,79,57.66,1934,36,17,16,24,0,0,0,25,3,0,0,0,0,153,1,628,18,2,50.0,43,81.13,9,26,9,3,16,9,2,31.25,0,0,3.7,0,2,0,Ismael Koné,Sassuolo,1134351,2793,Italy Serie A
8,0,0,41,45.56,9,39.13,15,38.46,10,2,87.2,50,44.25,1040,16,9,13,20,0,0,0,6,0,0,0,0,0,148,5,368,25,9,34.62,5,41.67,3,8,7,9,38,22,7,21.05,0,3,6.64,0,0,0,Christian Pulišić,Milan,817957,2692,Italy Serie A
4,1,0,12,32.43,2,25.0,4,57.14,5,0,86.04,14,31.11,580,3,5,8,9,0,0,0,6,0,0,0,0,0,118,1,339,15,5,19.23,16,55.17,5,0,9,0,17,7,5,23.53,1,1,3.33,0,0,0,Kevin De Bruyne,Napoli,70996,2714,Italy Serie A
0,0,0,3,100.0,3,100.0,0,0.0,0,0,67.51,6,100.0,630,4,0,0,7,14,12,1,15,0,3,1,4,1,17,0,160,0,0,0.0,73,48.99,0,9,0,0,0,0,0,0.0,0,0,,0,0,0,Simone Scuffet,Pisa,284349,2737,Italy Serie A
6,5,0,79,60.77,28,60.87,2,25.0,36,1,84.26,107,60.8,1864,43,26,9,26,0,0,0,23,7,0,0,0,0,182,2,653,26,15,25.0,31,38.27,10,26,13,0,52,12,18,11.54,1,0,4.23,0,0,0,Rolando Mandragora,Fiorentina,548178,2693,Italy Serie A
14,3,0,76,44.97,23,47.92,18,46.15,20,4,78.2,99,45.62,1905,39,41,28,25,0,0,0,14,3,0,0,0,0,189,11,409,32,2,12.5,16,61.54,5,17,8,15,83,32,22,16.87,3,7,11.56,0,1,0,Lautaro Martínez,Inter,823984,2697,Italy Serie A
